hand1_str,hand2_str,equity_hand1,equity_hand2
AKs,T7o,0.65855,0.34145000000000003
AKs,97o,0.6565,0.3435
AKs,87o,0.6438,0.35619999999999996
AKs,77,0.4796,0.5204
AKs,76s,0.6078,0.3922
AKs,75s,0.6102,0.38980000000000004
AKs,74s,0.62595,0.37405
AKs,73s,0.6337,0.36629999999999996
AKs,72s,0.6526,0.34740000000000004
AKs,A6o,0.74685,0.25315
AKs,K6o,0.76805,0.23195
AKs,Q6o,0.69095,0.30905000000000005
AKs,J6o,0.6912,0.30879999999999996
AKs,T6o,0.6815,0.3185
AKs,96o,0.6674,0.3326
AKs,86o,0.6478,0.35219999999999996
AKs,76o,0.63465,0.36534999999999995
AKs,66,0.47605,0.52395
AKs,65s,0.61305,0.38695
AKs,64s,0.6135,0.38649999999999995
AKs,63s,0.63,0.37
AKs,62s,0.64515,0.35485
AKs,A5o,0.74555,0.25444999999999995
AKs,K5o,0.7735,0.22650000000000003
AKs,Q5o,0.6766,0.3234
AKs,J5o,0.68255,0.31745
AKs,T5o,0.6945,0.3055
AKs,95o,0.6732,0.3268
AKs,85o,0.66935,0.33065
AKs,75o,0.6434,0.35660000000000003
AKs,65o,0.64175,0.35824999999999996
AKs,55,0.4883,0.5117
AKs,54s,0.62955,0.37044999999999995
AKs,53s,0.6144,0.38560000000000005
AKs,52s,0.63075,0.36924999999999997
AKs,A4o,0.7436,0.25639999999999996
AKs,K4o,0.77045,0.22955000000000003
AKs,Q4o,0.69125,0.30874999999999997
AKs,J4o,0.69985,0.30015000000000003
AKs,T4o,0.67655,0.32345
AKs,94o,0.69435,0.30565
AKs,84o,0.6837,0.3163
AKs,74o,0.66055,0.33945000000000003
AKs,64o,0.65565,0.34435000000000004
AKs,54o,0.648,0.352
AKs,44,0.4904,0.5096
AKs,43s,0.6472,0.3528
AKs,42s,0.6335,0.36650000000000005
AKs,A3o,0.7499,0.2501
AKs,K3o,0.7872,0.2128
AKs,Q3o,0.7016,0.2984
AKs,J3o,0.69695,0.30305000000000004
AKs,T3o,0.6861,0.31389999999999996
AKs,93o,0.686,0.31399999999999995
AKs,83o,0.6844,0.3156
AKs,73o,0.6705,0.3295
AKs,63o,0.6649,0.33509999999999995
AKs,53o,0.65155,0.34845000000000004
AKs,43o,0.6585,0.3415
AKs,33,0.48985,0.51015
AKs,32s,0.6411,0.3589
AKs,A2o,0.755,0.245
AKs,K2o,0.78365,0.21635000000000004
AKs,Q2o,0.7068,0.2932
AKs,J2o,0.692,0.30800000000000005
AKs,T2o,0.69035,0.30965
AKs,92o,0.70305,0.29695000000000005
AKs,82o,0.6947,0.3053
AKs,72o,0.6977,0.3023
AKs,62o,0.6788,0.32120000000000004
AKs,52o,0.67545,0.32455
AKs,42o,0.66895,0.33104999999999996
AKs,32o,0.67325,0.32675
AKs,22,0.5036,0.49639999999999995
AQs,AJs,0.7063,0.29369999999999996
AQs,ATs,0.7002,0.29979999999999996
AQs,A9s,0.70235,0.29764999999999997
AQs,A8s,0.71255,0.28745
AQs,A7s,0.7044,0.2956
AQs,A6s,0.7361,0.2639
AQs,A5s,0.69525,0.30474999999999997
AQs,A4s,0.69745,0.30255
AQs,A3s,0.7038,0.2962
AQs,A2s,0.69875,0.30125
AQs,AKo,0.3071,0.6929000000000001
AQs,KK,0.31745,0.68255
AQs,KQs,0.7121,0.28790000000000004
AQs,KJs,0.61575,0.38425
AQs,KTs,0.603,0.397
AQs,K9s,0.6076,0.39239999999999997
AQs,K8s,0.6598,0.34019999999999995
AQs,K7s,0.6233,0.37670000000000003
AQs,K6s,0.6183,0.38170000000000004
AQs,K5s,0.6158,0.3842
AQs,K4s,0.6307,0.36929999999999996
AQs,K3s,0.6171,0.3829
AQs,K2s,0.63715,0.36285
AQs,AQo,0.52305,0.47695
AQs,KQo,0.7494,0.25060000000000004
AQs,QQ,0.33755,0.66245
AQs,QJs,0.6986,0.3014
AQs,QTs,0.69665,0.30335
AQs,Q9s,0.72235,0.27764999999999995
AQs,Q8s,0.7176,0.2824
AQs,Q7s,0.76695,0.23304999999999998
AQs,Q6s,0.7215,0.27849999999999997
AQs,Q5s,0.7223,0.27769999999999995
AQs,Q4s,0.7296,0.2704
AQs,Q3s,0.77055,0.22945000000000004
AQs,Q2s,0.7782,0.2218
AQs,AJo,0.75275,0.24724999999999997
AQs,KJo,0.6389,0.3611
AQs,QJo,0.7403,0.25970000000000004
AQs,JJ,0.46315,0.53685
AQs,JTs,0.64045,0.35955000000000004
AQs,J9s,0.6329,0.3671
AQs,J8s,0.66725,0.33275
AQs,J7s,0.65505,0.34495
AQs,J6s,0.656,0.344
AQs,J5s,0.6884,0.3116
AQs,J4s,0.65565,0.34435000000000004
AQs,J3s,0.65715,0.34285
AQs,J2s,0.6553,0.3447
AQs,ATo,0.7454,0.25460000000000005
AQs,KTo,0.6459,0.35409999999999997
AQs,QTo,0.7391,0.2609
AQs,JTo,0.6464,0.3536
AQs,TT,0.44885,0.55115
AQs,T9s,0.61155,0.38844999999999996
AQs,T8s,0.6201,0.3799
AQs,T7s,0.633,0.367
AQs,T6s,0.63735,0.36265000000000003
AQs,T5s,0.65235,0.34765
AQs,T4s,0.6543,0.3457
AQs,T3s,0.6514,0.3486
AQs,T2s,0.69715,0.30284999999999995
AQs,A9o,0.74485,0.25515
AQs,K9o,0.66055,0.33945000000000003
AQs,Q9o,0.75195,0.24805
AQs,J9o,0.66595,0.33404999999999996
AQs,T9o,0.64735,0.35265
AQs,99,0.47275,0.52725
AQs,98s,0.6477,0.35229999999999995
AQs,97s,0.62425,0.37575000000000003
AQs,96s,0.63015,0.36985
AQs,95s,0.6356,0.36439999999999995
AQs,94s,0.6845,0.3155
AQs,93s,0.6487,0.35129999999999995
AQs,92s,0.6567,0.34330000000000005
AQs,A8o,0.73945,0.26054999999999995
AQs,K8o,0.65825,0.34175
AQs,Q8o,0.75495,0.24505
AQs,J8o,0.67325,0.32675
AQs,T8o,0.6451,0.3549
AQs,98o,0.6499,0.35009999999999997
AQs,88,0.4721,0.5279
AQs,87s,0.6141,0.3859
AQs,86s,0.6467,0.35329999999999995
AQs,85s,0.62525,0.37475
AQs,84s,0.63225,0.36775
AQs,83s,0.68795,0.31205000000000005
AQs,82s,0.65045,0.34955
AQs,A7o,0.75105,0.24895
AQs,K7o,0.6696,0.3304
AQs,Q7o,0.76565,0.23434999999999995
AQs,J7o,0.68325,0.31675
AQs,T7o,0.66965,0.33035000000000003
AQs,97o,0.66415,0.33585
AQs,87o,0.6457,0.35429999999999995
AQs,77,0.4831,0.5169
AQs,76s,0.60905,0.39095
AQs,75s,0.6218,0.3782
AQs,74s,0.6265,0.37350000000000005
AQs,73s,0.6435,0.35650000000000004
AQs,72s,0.6614,0.3386
AQs,A6o,0.75195,0.24805
